userId,movieId,rating,genre
34,52,4.5,Snickare
34,55,3.5,Snickare
34,58,2.5,Snickare
34,61,1.5,Snickare
34,64,5,Snickare
34,67,5,Snickare
34,70,5,Snickare
34,73,5,Snickare
34,76,5,Snickare
34,79,5,Snickare
35,52,5,Snickare
35,54,5,Snickare
35,56,5,Snickare
35,58,5,Snickare
35,60,5,Snickare
35,62,5,Snickare
35,64,5,Snickare
35,66,5,Snickare
35,68,5,Snickare
35,70,5,Snickare
35,72,5,Snickare
35,74,5,Snickare
35,76,5,Snickare
36,53,5,Snickare
36,56,5,Snickare
36,59,5,Snickare
36,62,5,Snickare
36,65,5,Snickare
36,68,5,Snickare
36,71,5,Snickare
36,74,5,Snickare
36,77,5,Snickare
36,80,5,Snickare
36,83,5,Snickare
36,86,5,Snickare
36,89,5,Snickare
