userId,movieId,rating,genre
2,409,5,Läkare
2,411,5,Läkare
2,413,5,Läkare
2,415,5,Läkare
2,417,5,Läkare
2,419,5,Läkare
2,421,5,Läkare
2,423,5,Läkare
2,425,5,Läkare
2,427,5,Läkare
2,429,5,Läkare
3,409,5,Läkare
3,413,5,Läkare
3,417,5,Läkare
3,421,5,Läkare
3,425,5,Läkare
3,429,5,Läkare
3,433,5,Läkare
3,437,5,Läkare
3,441,5,Läkare
3,445,5,Läkare
3,449,5,Läkare
4,408,5,Läkare
4,409,5,Läkare
4,410,5,Läkare
4,411,5,Läkare
4,412,5,Läkare
4,413,5,Läkare
4,414,5,Läkare
4,415,5,Läkare
4,416,5,Läkare
4,417,5,Läkare
4,418,5,Läkare
4,419,5,Läkare
5,424,5,Läkare
5,429,5,Läkare
5,434,5,Läkare
5,439,5,Läkare
5,444,5,Läkare
5,449,5,Läkare
5,454,5,Läkare
5,459,5,Läkare
5,464,5,Läkare
7,408,5,Läkare
7,414,5,Läkare
7,420,5,Läkare
7,426,5,Läkare
7,432,5,Läkare
7,438,5,Läkare
7,444,5,Läkare
7,450,5,Läkare
7,456,5,Läkare
7,462,5,Läkare
7,468,5,Läkare
7,474,5,Läkare
