userId,movieId,rating,genre
28,2,5,Sjuksköterska
28,3,5,Sjuksköterska
28,4,5,Sjuksköterska
28,5,5,Sjuksköterska
28,6,5,Sjuksköterska
28,7,5,Sjuksköterska
28,8,5,Sjuksköterska
28,9,5,Sjuksköterska
28,10,5,Sjuksköterska
28,11,5,Sjuksköterska
28,12,5,Sjuksköterska
28,13,5,Sjuksköterska
28,14,5,Sjuksköterska
28,15,5,Sjuksköterska
29,16,5,Sjuksköterska
29,17,5,Sjuksköterska
29,18,5,Sjuksköterska
29,19,5,Sjuksköterska
29,20,5,Sjuksköterska
29,21,5,Sjuksköterska
29,22,5,Sjuksköterska
29,23,5,Sjuksköterska
29,24,5,Sjuksköterska
30,2,5,Sjuksköterska
30,3,5,Sjuksköterska
30,4,5,Sjuksköterska
30,5,5,Sjuksköterska
30,6,5,Sjuksköterska
30,7,5,Sjuksköterska
30,8,5,Sjuksköterska
30,9,5,Sjuksköterska
30,10,5,Sjuksköterska
30,11,5,Sjuksköterska
